[Date: 29.11.2021 time: 20:22:20] | Succesfully started BankingLogger
[Date: 29.11.2021 time: 20:35:28] | Player: 76561198325090115 withdrawed 20000 from own account.
[Date: 29.11.2021 time: 20:37:08] | Player: 76561198291638036 Deposited 13343 on own account.
[Date: 29.11.2021 time: 21:08:21] | Player: 76561198157575784 Deposited 16876 on own account.
[Date: 29.11.2021 time: 21:29:05] | Player: 76561199000819089 Deposited 43171 on own account.
[Date: 29.11.2021 time: 21:31:17] | Player: 76561198325090115 Deposited 4998 on own account.
[Date: 29.11.2021 time: 21:33:46] | Player: 76561199000819089 withdrawed 10000 from own account.
[Date: 29.11.2021 time: 21:34:58] | Player: 76561199000819089 Deposited 4400 on own account.
[Date: 29.11.2021 time: 21:37:10] | Player: 76561198272326735 withdrawed 28000 from own account.
[Date: 29.11.2021 time: 21:37:12] | Player: 76561198272326735 withdrawed 0 from own account.
[Date: 29.11.2021 time: 21:37:14] | Player: 76561198272326735 withdrawed 0 from own account.
[Date: 29.11.2021 time: 21:37:19] | Player: 76561198272326735 Deposited 168040 on own account.
[Date: 29.11.2021 time: 21:37:21] | Player: 76561198272326735 withdrawed 168040 from own account.
[Date: 29.11.2021 time: 21:37:27] | Player: 76561198272326735 withdrawed 0 from own account.
[Date: 29.11.2021 time: 22:11:04] | Player: 76561198272326735 Deposited 104940 on own account.
[Date: 29.11.2021 time: 22:30:17] | Player: 76561198272326735 withdrawed 50000 from own account.
[Date: 29.11.2021 time: 22:53:03] | Player: 76561198453458485 Deposited 1286 on own account.
