[Date: 29.11.2021 time: 06:03:21] | Succesfully started BankingLogger
[Date: 29.11.2021 time: 06:28:29] | Player: 76561198157575784 Deposited 8700 on own account.
[Date: 29.11.2021 time: 06:29:12] | Player: 76561198293993091 Deposited 1344734 on own account.
[Date: 29.11.2021 time: 06:30:50] | Player: 76561198998448433 Deposited 95543 on own account.
[Date: 29.11.2021 time: 07:29:32] | Player: 76561198333321555 Deposited 15523 on own account.
[Date: 29.11.2021 time: 08:09:26] | Player: 76561198015543936 Deposited 950455 on own account.
[Date: 29.11.2021 time: 08:12:21] | Player: 76561198015543936 withdrawed 20000 from own account.
[Date: 29.11.2021 time: 08:18:26] | Player: 76561198293993091 Deposited 273712 on own account.
[Date: 29.11.2021 time: 08:26:09] | Player: 76561198293993091 withdrawed 200000 from own account.
[Date: 29.11.2021 time: 08:54:16] | Player: 76561198015543936 Deposited 881885 on own account.
[Date: 29.11.2021 time: 09:00:29] | Player: 76561198015543936 withdrawed 100000 from own account.
[Date: 29.11.2021 time: 09:16:56] | Player: 76561198015543936 Deposited 92900 on own account.
[Date: 29.11.2021 time: 09:31:09] | Player: 76561198333321555 Deposited 1180 on own account.
[Date: 29.11.2021 time: 09:47:53] | Player: 76561198804910463 withdrawed 30000 from own account.
[Date: 29.11.2021 time: 09:53:31] | Player: 76561198804910463 Deposited 15850 on own account.
[Date: 29.11.2021 time: 09:54:27] | Player: 76561198804910463 withdrawed 20 from own account.
[Date: 29.11.2021 time: 09:59:03] | Player: 76561198804910463 withdrawed 1470 from own account.
[Date: 29.11.2021 time: 10:00:04] | Player: 76561198804910463 withdrawed 500 from own account.
[Date: 29.11.2021 time: 10:01:55] | Player: 76561198804910463 Deposited 500 on own account.
