[Date: 30.11.2021 time: 12:27:51] | Succesfully started BankingLogger
[Date: 30.11.2021 time: 12:56:15] | Player: 76561199046246523 Deposited 1226587 on own account.
[Date: 30.11.2021 time: 12:58:24] | Player: 76561199046246523 withdrawed 100000 from own account.
[Date: 30.11.2021 time: 13:17:52] | Player: 76561199046246523 Deposited 15214 on own account.
[Date: 30.11.2021 time: 13:59:24] | Player: 76561198061670250 withdrawed 1000 from own account.
[Date: 30.11.2021 time: 14:02:19] | Player: 76561199046246523 withdrawed 200009 from own account.
[Date: 30.11.2021 time: 14:05:14] | Player: 76561199046246523 Deposited 174009 on own account.
[Date: 30.11.2021 time: 14:26:29] | Player: 76561198804910463 withdrawed 23000 from own account.
[Date: 30.11.2021 time: 14:44:26] | Player: 76561199046246523 Deposited 11000 on own account.
[Date: 30.11.2021 time: 14:44:36] | Player: 76561199046246523 withdrawed 1151801 from own account.
[Date: 30.11.2021 time: 14:44:43] | Player: 76561199046246523 Deposited 1151801 on own account.
[Date: 30.11.2021 time: 14:44:50] | Player: 76561199046246523 withdrawed 405000 from own account.
[Date: 30.11.2021 time: 14:45:14] | Player: 76561199046246523 withdrawed 50000 from own account.
[Date: 30.11.2021 time: 15:02:05] | Player: 76561198061670250 Deposited 3670 on own account.
[Date: 30.11.2021 time: 15:02:13] | Player: 76561198061670250 withdrawed 20000 from own account.
[Date: 30.11.2021 time: 15:41:47] | Player: 76561198291638036 withdrawed 10000 from own account.
[Date: 30.11.2021 time: 15:41:48] | Player: 76561198291638036 withdrawed 4343 from own account.
[Date: 30.11.2021 time: 15:43:17] | Player: 76561198157575784 Deposited 294 on own account.
[Date: 30.11.2021 time: 15:43:40] | Player: 76561198291638036 Deposited 511843 on own account.
[Date: 30.11.2021 time: 15:49:11] | Player: 76561198291638036 withdrawed 20000 from own account.
[Date: 30.11.2021 time: 15:58:20] | Player: 76561198998448433 Deposited 205301 on own account.
[Date: 30.11.2021 time: 16:00:12] | Player: 76561198998448433 withdrawed 5000 from own account.
[Date: 30.11.2021 time: 16:06:50] | Player: 76561198998448433 withdrawed 15000 from own account.
[Date: 30.11.2021 time: 16:09:19] | Player: 76561198998448433 Deposited 5900 on own account.
[Date: 30.11.2021 time: 16:18:16] | Player: 76561198291638036 withdrawed 50000 from own account.
