[Date: 02.12.2021 time: 06:04:00] | Succesfully started BankingLogger
[Date: 02.12.2021 time: 06:53:43] | Player: 76561198804910463 withdrawed 5000 from own account.
[Date: 02.12.2021 time: 06:54:46] | Player: 76561198389777837 withdrawed 6437 from own account.
[Date: 02.12.2021 time: 06:57:06] | Player: 76561198389777837 Deposited 1822 on own account.
[Date: 02.12.2021 time: 06:57:33] | Player: 76561198389777837 withdrawed 1822 from own account.
[Date: 02.12.2021 time: 06:58:47] | Player: 76561198804910463 withdrawed 5500 from own account.
[Date: 02.12.2021 time: 06:58:55] | Player: 76561198804910463 Deposited 833 on own account.
[Date: 02.12.2021 time: 06:59:53] | Player: 76561198804910463 withdrawed 500 from own account.
[Date: 02.12.2021 time: 07:00:10] | Player: 76561198804910463 Deposited 486 on own account.
[Date: 02.12.2021 time: 07:02:15] | Player: 76561198389777837 Deposited 807 on own account.
[Date: 02.12.2021 time: 07:36:17] | Player: 76561198015543936 withdrawed 100000 from own account.
[Date: 02.12.2021 time: 07:38:07] | Player: 76561198389777837 withdrawed 3807 from own account.
[Date: 02.12.2021 time: 07:38:10] | Player: 76561198389777837 withdrawed 0 from own account.
[Date: 02.12.2021 time: 07:41:11] | Player: 76561198804910463 withdrawed 20000 from own account.
[Date: 02.12.2021 time: 07:41:23] | Player: 76561198804910463 withdrawed 50000 from own account.
[Date: 02.12.2021 time: 07:41:34] | Player: 76561198804910463 withdrawed 400 from own account.
[Date: 02.12.2021 time: 07:41:51] | Player: 76561198804910463 withdrawed 3414 from own account.
[Date: 02.12.2021 time: 07:42:39] | Player: 76561198804910463 withdrawed 3425 from own account.
[Date: 02.12.2021 time: 07:43:47] | Player: 76561198804910463 withdrawed 20000 from own account.
[Date: 02.12.2021 time: 08:04:02] | Player: 76561198804910463 Deposited 13318 on own account.
[Date: 02.12.2021 time: 08:08:29] | Player: 76561198804910463 withdrawed 1000 from own account.
[Date: 02.12.2021 time: 08:08:39] | Player: 76561198804910463 withdrawed 4000 from own account.
[Date: 02.12.2021 time: 08:11:58] | Player: 76561198804910463 Deposited 3850 on own account.
[Date: 02.12.2021 time: 08:17:47] | Player: 76561198389777837 withdrawed 2000 from own account.
[Date: 02.12.2021 time: 08:18:00] | Player: 76561198389777837 Deposited 35121 on own account.
[Date: 02.12.2021 time: 09:51:07] | Player: 76561198389777837 withdrawed 42121 from own account.
[Date: 02.12.2021 time: 09:51:27] | Player: 76561198804910463 withdrawed 1000 from own account.
[Date: 02.12.2021 time: 09:54:29] | Player: 76561198804910463 Deposited 410 on own account.
