[Date: 29.11.2021 time: 17:58:53] | Succesfully started BankingLogger
[Date: 29.11.2021 time: 18:03:53] | Player: 76561198061670250 withdrawed 4750 from own account.
[Date: 29.11.2021 time: 18:04:55] | Player: 76561198061670250 Deposited 67 on own account.
[Date: 29.11.2021 time: 18:14:47] | Player: 76561199008793782 Deposited 19005 on own account.
[Date: 29.11.2021 time: 19:08:12] | Player: 76561198998448433 withdrawed 5000 from own account.
[Date: 29.11.2021 time: 19:09:23] | Player: 76561198998448433 withdrawed 5000 from own account.
[Date: 29.11.2021 time: 19:22:26] | Player: 76561198998448433 withdrawed 10000 from own account.
[Date: 29.11.2021 time: 19:29:08] | Player: 76561198998448433 Deposited 65 on own account.
[Date: 29.11.2021 time: 19:33:35] | Player: 76561198045624393 Deposited 1262794 on own account.
[Date: 29.11.2021 time: 19:35:02] | Player: 76561198045624393 withdrawed 700000 from own account.
[Date: 29.11.2021 time: 19:45:27] | Player: 76561198045512864 withdrawed 50000 from own account.
