[Date: 28.11.2021 time: 19:02:25] | Succesfully started BankingLogger
[Date: 28.11.2021 time: 19:21:41] | Player: 76561198325090115 Deposited 752300 on own account.
[Date: 28.11.2021 time: 19:22:49] | Player: 76561198325090115 withdrawed 64000 from own account.
[Date: 28.11.2021 time: 19:46:49] | Player: 76561198325090115 withdrawed 20000 from own account.
[Date: 28.11.2021 time: 20:00:55] | Player: 76561198325090115 Deposited 14808 on own account.
[Date: 28.11.2021 time: 20:12:17] | Player: 76561198045512864 withdrawed 30000 from own account.
[Date: 28.11.2021 time: 20:12:46] | Player: 76561198045624393 Deposited 5495 on own account.
[Date: 28.11.2021 time: 20:14:59] | Player: 76561198045624393 withdrawed 13495 from own account.
[Date: 28.11.2021 time: 20:19:05] | Player: 76561198045512864 Deposited 24061 on own account.
[Date: 28.11.2021 time: 20:19:30] | Player: 76561198045512864 withdrawed 10000 from own account.
[Date: 28.11.2021 time: 20:23:54] | Player: 76561199000819089 withdrawed 15000 from own account.
[Date: 28.11.2021 time: 20:28:49] | Player: 76561199000819089 Deposited 13237 on own account.
[Date: 28.11.2021 time: 21:33:35] | Player: 76561198159839961 Deposited 31186 on own account.
[Date: 28.11.2021 time: 22:50:59] | Player: 76561198453458485 withdrawed 1000 from own account.
