[Date: 30.11.2021 time: 06:03:28] | Succesfully started BankingLogger
[Date: 30.11.2021 time: 08:45:56] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:45:58] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:46:00] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:46:03] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:46:11] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:46:13] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:46:33] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:47:31] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:47:38] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:47:39] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:47:49] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:48:10] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:48:13] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:48:14] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 08:48:59] | Player: 76561198015543936 Deposited 383000 on own account.
[Date: 30.11.2021 time: 08:49:18] | Player: 76561198293993091 joined the Clan Banking Account: BENT
[Date: 30.11.2021 time: 08:49:24] | Player: 76561198015543936 deposited 109400 on clan account.
[Date: 30.11.2021 time: 08:51:26] | Player: 76561198293993091 PermissionsUpdated! from clan: BENT
[Date: 30.11.2021 time: 08:51:40] | Player: 76561198293993091 withdrawed 0 from clan account.
[Date: 30.11.2021 time: 08:51:54] | Player: 76561198293993091 withdrawed 0 from clan account.
[Date: 30.11.2021 time: 08:52:47] | Player: 76561198015543936 withdrawed 20000 from own account.
[Date: 30.11.2021 time: 08:53:20] | Player: 76561198293993091 PermissionsUpdated! from clan: BENT
[Date: 30.11.2021 time: 08:53:32] | Player: 76561198015543936 Deposited 20000 on own account.
[Date: 30.11.2021 time: 08:53:49] | Player: 76561198293993091 withdrawed 0 from own account.
[Date: 30.11.2021 time: 09:17:19] | Player: 76561198061670250 Deposited 10767 on own account.
[Date: 30.11.2021 time: 09:35:37] | Player: 76561198293993091 withdrawed 200000 from own account.
