[Date: 28.11.2021 time: 15:00:07] | Succesfully started BankingLogger
[Date: 28.11.2021 time: 16:20:11] | Player: 76561197965495705 Deposited 39979 on own account.
[Date: 28.11.2021 time: 16:31:32] | Player: 76561198117844249 Deposited 3000 on own account.
[Date: 28.11.2021 time: 16:31:33] | Player: 76561198117844249 Deposited 3000 on own account.
[Date: 28.11.2021 time: 16:31:45] | Player: 76561198117844249 Deposited 158768 on own account.
[Date: 28.11.2021 time: 16:39:06] | Player: 76561198117844249 withdrawed 1000 from own account.
[Date: 28.11.2021 time: 16:39:08] | Player: 76561198117844249 withdrawed 1000 from own account.
[Date: 28.11.2021 time: 16:39:08] | Player: 76561197965495705 Deposited 7995 on own account.
[Date: 28.11.2021 time: 16:46:55] | Player: 76561198117844249 withdrawed 500 from own account.
[Date: 28.11.2021 time: 17:08:56] | Player: 76561198804910463 Deposited 159964 on own account.
[Date: 28.11.2021 time: 17:19:43] | Player: 76561198804910463 withdrawed 20000 from own account.
[Date: 28.11.2021 time: 17:58:40] | Player: 76561198804910463 Deposited 2000 on own account.
[Date: 28.11.2021 time: 18:11:52] | Player: 76561198804910463 Deposited 7765 on own account.
[Date: 28.11.2021 time: 18:11:59] | Player: 76561198804910463 withdrawed 50000 from own account.
[Date: 28.11.2021 time: 18:19:39] | Player: 76561198804910463 withdrawed 40000 from own account.
[Date: 28.11.2021 time: 18:20:13] | Player: 76561198804910463 withdrawed 3000 from own account.
[Date: 28.11.2021 time: 18:25:03] | Player: 76561198804910463 Deposited 4948 on own account.
