[Date: 30.11.2021 time: 16:26:52] | Succesfully started BankingLogger
[Date: 30.11.2021 time: 16:36:20] | Player: 76561198804910463 Deposited 103661 on own account.
[Date: 30.11.2021 time: 16:45:12] | Player: 76561198061670250 Deposited 14930 on own account.
[Date: 30.11.2021 time: 16:46:40] | Player: 76561198804910463 Deposited 6500 on own account.
[Date: 30.11.2021 time: 16:46:53] | Player: 76561198804910463 withdrawed 25000 from own account.
[Date: 30.11.2021 time: 16:52:40] | Player: 76561198061670250 withdrawed 100 from own account.
[Date: 30.11.2021 time: 16:53:16] | Player: 76561198804910463 withdrawed 230 from own account.
[Date: 30.11.2021 time: 16:53:26] | Player: 76561198804910463 withdrawed 1000 from own account.
[Date: 30.11.2021 time: 16:53:48] | Player: 76561198061670250 Deposited 22 on own account.
[Date: 30.11.2021 time: 16:54:03] | Player: 76561198061670250 withdrawed 5000 from own account.
[Date: 30.11.2021 time: 16:54:22] | Player: 76561198804910463 withdrawed 400000 from own account.
[Date: 30.11.2021 time: 16:59:58] | Player: 76561198283834691 withdrawed 5000 from own account.
[Date: 30.11.2021 time: 17:04:54] | Player: 76561198157575784 Deposited 5309 on own account.
[Date: 30.11.2021 time: 17:08:03] | Player: 76561198061670250 Deposited 1455 on own account.
[Date: 30.11.2021 time: 17:10:42] | Player: 76561198283834691 withdrawed 10000 from own account.
[Date: 30.11.2021 time: 17:13:38] | Player: 76561198283834691 withdrawed 19000 from own account.
[Date: 30.11.2021 time: 17:13:42] | Player: 76561198283834691 withdrawed 0 from own account.
[Date: 30.11.2021 time: 17:16:32] | Player: 76561198157575784 Deposited 25723 on own account.
[Date: 30.11.2021 time: 17:44:35] | Player: 76561198325090115 Deposited 172110 on own account.
[Date: 30.11.2021 time: 17:44:39] | Player: 76561199000819089 Deposited 502850 on own account.
[Date: 30.11.2021 time: 17:44:57] | Player: 76561198325090115 withdrawed 20000 from own account.
[Date: 30.11.2021 time: 17:45:06] | Player: 76561199000819089 withdrawed 10000 from own account.
[Date: 30.11.2021 time: 17:45:56] | Player: 76561199000819089 withdrawed 20000 from own account.
[Date: 30.11.2021 time: 17:54:04] | Player: 76561198325090115 withdrawed 20000 from own account.
[Date: 30.11.2021 time: 17:58:01] | Player: 76561199000819089 Deposited 14000 on own account.
[Date: 30.11.2021 time: 18:07:44] | Player: 76561199000819089 Deposited 3952 on own account.
[Date: 30.11.2021 time: 18:10:57] | Player: 76561199000819089 withdrawed 200000 from own account.
[Date: 30.11.2021 time: 18:11:15] | Player: 76561198325090115 withdrawed 60000 from own account.
