[Date: 29.11.2021 time: 14:07:57] | Succesfully started BankingLogger
[Date: 29.11.2021 time: 14:40:00] | Player: 76561198045512864 withdrawed 20000 from own account.
[Date: 29.11.2021 time: 14:48:38] | Player: 76561198045512864 Deposited 9025 on own account.
[Date: 29.11.2021 time: 15:34:03] | Player: 76561198015543936 Deposited 19705 on own account.
[Date: 29.11.2021 time: 15:34:49] | Player: 76561198045512864 Deposited 28010 on own account.
[Date: 29.11.2021 time: 15:35:35] | Player: 76561198015543936 Deposited 8144055 on own account.
[Date: 29.11.2021 time: 15:35:37] | Player: 76561198015543936 Deposited 0 on own account.
[Date: 29.11.2021 time: 15:35:39] | Player: 76561198015543936 Deposited 0 on own account.
[Date: 29.11.2021 time: 15:36:35] | Player: 76561198240053012 Deposited 200000 on own account.
[Date: 29.11.2021 time: 15:37:17] | Player: 76561198240053012 Deposited 1000000 on own account.
[Date: 29.11.2021 time: 15:37:26] | Player: 76561198045512864 Deposited 7500000 on own account.
[Date: 29.11.2021 time: 15:38:40] | Player: 76561198045512864 Deposited 2339041 on own account.
[Date: 29.11.2021 time: 15:43:59] | Player: 76561198015543936 withdrawed 5000 from own account.
[Date: 29.11.2021 time: 15:47:27] | Player: 76561198333321555 Deposited 500415 on own account.
