[Date: 30.11.2021 time: 02:01:10] | Succesfully started BankingLogger
[Date: 30.11.2021 time: 02:59:41] | Player: 76561198015543936 deposited 28145 on clan account.
[Date: 30.11.2021 time: 02:59:50] | Player: 76561198015543936 withdrawed 400000 from own account.
[Date: 30.11.2021 time: 04:27:46] | Player: 76561198841888579 Deposited 1000 on own account.
[Date: 30.11.2021 time: 04:27:56] | Player: 76561198453458485 withdrawed 16000 from own account.
[Date: 30.11.2021 time: 04:28:31] | Player: 76561198453458485 withdrawed 5000 from own account.
[Date: 30.11.2021 time: 04:40:08] | Player: 76561198333321555 Deposited 114350 on own account.
[Date: 30.11.2021 time: 05:24:36] | Player: 76561198453458485 Deposited 4382 on own account.
[Date: 30.11.2021 time: 05:25:00] | Player: 76561198453458485 withdrawed 1000 from own account.
[Date: 30.11.2021 time: 05:25:36] | Player: 76561198453458485 Deposited 968 on own account.
[Date: 30.11.2021 time: 05:26:14] | Player: 76561198841888579 Deposited 69756 on own account.
[Date: 30.11.2021 time: 05:40:41] | Player: 76561198293993091 withdrawed 200000 from own account.
[Date: 30.11.2021 time: 05:49:32] | Player: 76561198293993091 withdrawed 200000 from own account.
