[Date: 29.11.2021 time: 02:01:11] | Succesfully started BankingLogger
[Date: 29.11.2021 time: 03:25:31] | Player: 76561198453458485 Deposited 225 on own account.
[Date: 29.11.2021 time: 03:27:11] | Player: 76561198157575784 Deposited 1000004 on own account.
[Date: 29.11.2021 time: 03:27:23] | Player: 76561198998448433 Deposited 1000000 on own account.
[Date: 29.11.2021 time: 04:41:23] | Player: 76561198453458485 withdrawed 400 from own account.
[Date: 29.11.2021 time: 04:42:04] | Player: 76561198453458485 withdrawed 24 from own account.
[Date: 29.11.2021 time: 04:56:21] | Player: 76561198453458485 withdrawed 20 from own account.
[Date: 29.11.2021 time: 04:58:41] | Player: 76561198841888579 withdrawed 1000 from own account.
[Date: 29.11.2021 time: 05:01:04] | Player: 76561198841888579 Deposited 664 on own account.
[Date: 29.11.2021 time: 05:01:26] | Player: 76561198841888579 withdrawed 150 from own account.
[Date: 29.11.2021 time: 05:01:40] | Player: 76561198841888579 Deposited 130 on own account.
[Date: 29.11.2021 time: 05:03:28] | Player: 76561198841888579 withdrawed 1644 from own account.
[Date: 29.11.2021 time: 05:05:19] | Player: 76561198841888579 Deposited 1195 on own account.
[Date: 29.11.2021 time: 05:34:49] | Player: 76561198841888579 Deposited 16900 on own account.
[Date: 29.11.2021 time: 05:37:22] | Player: 76561198453458485 Deposited 19765 on own account.
