[Date: 30.11.2021 time: 18:27:07] | Succesfully started BankingLogger
[Date: 30.11.2021 time: 19:00:07] | Player: 76561198045512864 Deposited 74940 on own account.
[Date: 30.11.2021 time: 19:01:12] | Player: 76561198045624393 Deposited 267751 on own account.
[Date: 30.11.2021 time: 19:27:35] | Player: 76561199000819089 withdrawed 83000 from own account.
[Date: 30.11.2021 time: 19:27:55] | Player: 76561199000819089 withdrawed 1610 from own account.
[Date: 30.11.2021 time: 19:34:46] | Player: 76561198045512864 withdrawed 0 from own account.
[Date: 30.11.2021 time: 19:34:52] | Player: 76561198045512864 withdrawed 0 from own account.
[Date: 30.11.2021 time: 19:35:22] | Player: 76561198045512864 withdrawed 800000 from own account.
[Date: 30.11.2021 time: 19:35:34] | Player: 76561198325090115 Deposited 18838 on own account.
[Date: 30.11.2021 time: 19:36:19] | Player: 76561198045624393 Deposited 8425 on own account.
[Date: 30.11.2021 time: 19:47:19] | Player: 76561199000819089 Deposited 37542 on own account.
[Date: 30.11.2021 time: 19:48:22] | Player: 76561199000819089 withdrawed 50000 from own account.
[Date: 30.11.2021 time: 19:49:54] | Player: 76561198291638036 withdrawed 50000 from own account.
[Date: 30.11.2021 time: 19:51:40] | Player: 76561198291638036 withdrawed 10000 from own account.
[Date: 30.11.2021 time: 19:54:24] | Player: 76561199000819089 Deposited 31558 on own account.
[Date: 30.11.2021 time: 19:58:58] | Player: 76561198325090115 withdrawed 10000 from own account.
[Date: 30.11.2021 time: 20:02:04] | Player: 76561198291638036 withdrawed 50000 from own account.
[Date: 30.11.2021 time: 20:03:17] | Player: 76561198325090115 Deposited 2937 on own account.
[Date: 30.11.2021 time: 20:07:25] | Player: 76561198291638036 Deposited 21453 on own account.
[Date: 30.11.2021 time: 20:24:00] | Player: 76561198453458485 Deposited 280 on own account.
[Date: 30.11.2021 time: 20:35:53] | Player: 76561198159839961 Deposited 18459 on own account.
[Date: 30.11.2021 time: 20:43:37] | Player: 76561198159839961 Deposited 176000 on own account.
[Date: 30.11.2021 time: 20:47:42] | Player: 76561198325090115 withdrawed 20000 from own account.
[Date: 30.11.2021 time: 20:56:22] | Player: 76561199046246523 Deposited 454415 on own account.
[Date: 30.11.2021 time: 20:57:14] | Player: 76561199046246523 withdrawed 60000 from own account.
[Date: 30.11.2021 time: 20:57:25] | Player: 76561198325090115 Deposited 11720 on own account.
[Date: 30.11.2021 time: 21:03:12] | Player: 76561199046246523 Deposited 38448 on own account.
[Date: 30.11.2021 time: 21:14:58] | Player: 76561198224230020 withdrawed 1000 from own account.
[Date: 30.11.2021 time: 21:15:07] | Player: 76561198224230020 withdrawed 0 from own account.
[Date: 30.11.2021 time: 21:15:09] | Player: 76561198224230020 Deposited 701000 on own account.
[Date: 30.11.2021 time: 21:15:25] | Player: 76561198224230020 withdrawed 700000 from own account.
