[Date: 01.12.2021 time: 21:09:21] | Succesfully started BankingLogger
[Date: 01.12.2021 time: 21:17:40] | Player: 76561198998448433 withdrawed 5000 from own account.
[Date: 01.12.2021 time: 21:18:07] | Player: 76561198998448433 withdrawed 3000 from own account.
[Date: 01.12.2021 time: 21:18:19] | Player: 76561198325090115 Deposited 16600 on own account.
[Date: 01.12.2021 time: 21:18:24] | Player: 76561198998448433 Deposited 382 on own account.
[Date: 01.12.2021 time: 21:37:29] | Player: 76561198325090115 Deposited 1280 on own account.
[Date: 01.12.2021 time: 21:37:59] | Player: 76561199000819089 Deposited 403339 on own account.
[Date: 01.12.2021 time: 22:36:34] | Player: 76561198293993091 withdrawed 200000 from own account.
[Date: 01.12.2021 time: 22:49:40] | Player: 76561198157575784 Deposited 4530 on own account.
[Date: 01.12.2021 time: 22:55:17] | Player: 76561198157575784 withdrawed 5000 from own account.
[Date: 01.12.2021 time: 23:04:11] | Player: 76561198283834691 Deposited 624849 on own account.
[Date: 01.12.2021 time: 23:40:23] | Player: 76561198804910463 withdrawed 55000 from own account.
[Date: 01.12.2021 time: 23:42:56] | Player: 76561198804910463 withdrawed 100000 from own account.
[Date: 01.12.2021 time: 23:50:52] | Player: 76561198804910463 Deposited 490 on own account.
[Date: 01.12.2021 time: 23:50:59] | Player: 76561198804910463 withdrawed 5000 from own account.
[Date: 01.12.2021 time: 23:53:53] | Player: 76561198804910463 withdrawed 500 from own account.
[Date: 01.12.2021 time: 23:54:17] | Player: 76561198804910463 withdrawed 10000 from own account.
[Date: 02.12.2021 time: 00:03:58] | Player: 76561198804910463 withdrawed 10000 from own account.
[Date: 02.12.2021 time: 00:09:44] | Player: 76561198804910463 Deposited 5090 on own account.
[Date: 02.12.2021 time: 00:58:01] | Player: 76561198804910463 Deposited 250 on own account.
[Date: 02.12.2021 time: 00:58:12] | Player: 76561198804910463 withdrawed 1000 from own account.
[Date: 02.12.2021 time: 01:00:14] | Player: 76561198804910463 withdrawed 100100 from own account.
[Date: 02.12.2021 time: 01:08:52] | Player: 76561198804910463 Deposited 78200 on own account.
